timestamp,well_id,steam_volume_bbl,soak_duration_days,spm,stroke_length_in,vfd_frequency_hz,is_synthetic,data_source
2026-08-26 08:00:00,BGW-001,896.9,14.9,6.2,75.0,37.2,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-002,1030.1,10.5,6.66,105.0,40.6,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-006,1095.0,16.0,5.68,85.0,43.7,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-007,772.5,9.6,6.15,105.0,48.3,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-008,1268.4,13.4,4.66,75.0,48.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-009,1178.6,14.4,4.17,105.0,46.8,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-011,839.1,9.6,5.09,100.0,46.6,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-012,757.9,14.0,5.48,90.0,38.9,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-014,1279.1,8.6,6.22,105.0,37.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-016,1131.7,10.0,4.89,105.0,41.7,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-017,1020.4,13.2,3.78,110.0,45.3,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-018,1269.3,11.0,6.28,75.0,43.6,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-019,847.1,9.1,5.66,80.0,37.3,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-021,1293.9,14.0,4.56,100.0,37.7,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-022,1098.9,15.4,6.17,100.0,38.5,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-025,788.8,13.6,4.61,80.0,43.9,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-026,1038.1,14.6,6.4,115.0,42.5,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-028,1037.1,7.8,6.52,75.0,37.7,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-029,910.9,15.9,5.51,110.0,40.8,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-030,911.9,13.6,5.82,110.0,42.4,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-031,1200.9,15.3,5.85,75.0,46.7,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-032,1112.0,15.4,4.82,95.0,38.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-034,1056.1,7.1,6.27,70.0,39.3,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-035,1190.1,10.6,4.07,115.0,37.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-036,820.5,8.5,6.68,85.0,42.2,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-038,1029.3,7.6,3.93,105.0,41.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-039,878.1,8.6,6.02,100.0,48.3,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-040,921.3,10.8,4.63,105.0,40.8,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-043,1193.0,7.8,6.21,75.0,37.7,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-045,1022.6,14.7,4.77,85.0,46.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-046,1084.7,10.6,4.16,110.0,44.1,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-047,822.5,15.8,6.39,105.0,45.3,True,synthetic_field_prototype
2026-08-26 08:00:00,BGW-051,1136.2,10.4,4.21,90.0,42.1,True,synthetic_field_prototype
