filename,class_name,class_id,severity,viscosity_cP,spm,stroke_length_in,card_area,peak_load_lbs,min_load_lbs,is_synthetic,data_source
card_00000_normal.png,normal,0,0.0,1955.3,5.407,125.09,96534.62,9343.69,3128.61,True,physics_simulated_synthetic_dynacard
card_00001_normal.png,normal,0,0.0,192.98,5.911,114.44,89382.14,9252.68,3184.05,True,physics_simulated_synthetic_dynacard
card_00002_normal.png,normal,0,0.0,21213.38,7.369,108.74,85174.56,9373.56,3196.68,True,physics_simulated_synthetic_dynacard
card_00003_normal.png,normal,0,0.0,24329.04,7.178,138.84,112764.86,9372.66,3143.22,True,physics_simulated_synthetic_dynacard
card_00004_normal.png,normal,0,0.0,6447.67,3.386,139.73,106896.73,9198.57,3164.85,True,physics_simulated_synthetic_dynacard
card_00005_normal.png,normal,0,0.0,1288.74,4.496,70.98,54794.46,9228.84,3155.91,True,physics_simulated_synthetic_dynacard
card_00006_normal.png,normal,0,0.0,6121.09,2.551,137.55,105856.44,9113.78,3165.92,True,physics_simulated_synthetic_dynacard
card_00007_normal.png,normal,0,0.0,4168.3,4.826,109.95,83113.71,9251.09,3205.19,True,physics_simulated_synthetic_dynacard
card_00008_normal.png,normal,0,0.0,90.51,3.554,93.36,71851.13,9215.05,3177.79,True,physics_simulated_synthetic_dynacard
card_00009_normal.png,normal,0,0.0,79.23,3.651,121.84,95033.74,9230.24,3223.1,True,physics_simulated_synthetic_dynacard
card_00010_normal.png,normal,0,0.0,647.75,2.979,117.75,89614.76,9117.42,3221.58,True,physics_simulated_synthetic_dynacard
card_00011_normal.png,normal,0,0.0,245.4,7.06,138.37,110984.34,9328.15,3154.43,True,physics_simulated_synthetic_dynacard
card_00012_normal.png,normal,0,0.0,9751.04,7.23,64.44,51211.23,9319.67,3052.1,True,physics_simulated_synthetic_dynacard
card_00013_normal.png,normal,0,0.0,414.49,6.973,65.44,52221.88,9392.95,3180.3,True,physics_simulated_synthetic_dynacard
card_00014_normal.png,normal,0,0.0,14982.23,7.401,140.27,111452.0,9339.82,3152.52,True,physics_simulated_synthetic_dynacard
card_00015_normal.png,normal,0,0.0,1104.76,6.14,122.87,96033.65,9302.07,3129.9,True,physics_simulated_synthetic_dynacard
card_00016_normal.png,normal,0,0.0,14682.37,3.139,138.53,106144.56,9195.62,3167.38,True,physics_simulated_synthetic_dynacard
card_00017_normal.png,normal,0,0.0,460.37,3.19,93.18,71787.82,9157.85,3168.78,True,physics_simulated_synthetic_dynacard
card_00018_normal.png,normal,0,0.0,449.91,6.022,117.62,92268.13,9301.71,3167.1,True,physics_simulated_synthetic_dynacard
card_00019_normal.png,normal,0,0.0,1784.56,7.252,134.21,106816.45,9407.89,3143.03,True,physics_simulated_synthetic_dynacard
card_00020_normal.png,normal,0,0.0,1342.25,3.041,79.5,61906.55,9214.95,3163.01,True,physics_simulated_synthetic_dynacard
card_00021_normal.png,normal,0,0.0,555.31,4.5,138.23,107736.87,9215.51,3217.06,True,physics_simulated_synthetic_dynacard
card_00022_normal.png,normal,0,0.0,6122.46,6.838,129.84,103604.24,9405.57,3106.96,True,physics_simulated_synthetic_dynacard
card_00023_normal.png,normal,0,0.0,2411.93,3.461,98.0,75492.54,9232.32,3226.78,True,physics_simulated_synthetic_dynacard
card_00024_normal.png,normal,0,0.0,18439.74,5.583,116.67,91195.59,9305.73,3202.85,True,physics_simulated_synthetic_dynacard
card_00025_normal.png,normal,0,0.0,17061.98,6.295,126.84,100124.25,9325.37,3184.14,True,physics_simulated_synthetic_dynacard
card_00026_normal.png,normal,0,0.0,1271.72,5.862,91.37,71778.86,9339.26,3134.6,True,physics_simulated_synthetic_dynacard
card_00027_normal.png,normal,0,0.0,420.13,2.911,71.26,54195.26,9177.35,3167.03,True,physics_simulated_synthetic_dynacard
card_00028_normal.png,normal,0,0.0,1634.0,5.049,83.06,64727.49,9259.91,3171.05,True,physics_simulated_synthetic_dynacard
card_00029_normal.png,normal,0,0.0,283.27,6.622,71.64,56567.79,9272.0,3132.59,True,physics_simulated_synthetic_dynacard
card_00030_normal.png,normal,0,0.0,18418.27,6.975,136.17,108723.66,9474.76,3116.32,True,physics_simulated_synthetic_dynacard
card_00031_normal.png,normal,0,0.0,2442.8,3.94,82.4,63245.88,9256.83,3191.06,True,physics_simulated_synthetic_dynacard
